Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:58:15.162337,16:58:17.355682,1,-1.0
2,16:58:15.162337,16:58:17.573387,1,-1.0
2,16:58:15.162337,16:58:17.781389,1,-1.0
2,16:58:15.162337,16:58:18.000060,1,-1.0
2,16:58:15.162337,16:58:18.237669,1,-1.0
2,16:58:15.162337,16:58:18.446448,1,-1.0
2,16:58:15.162337,16:58:18.668019,1,-1.0
2,16:58:15.162337,16:58:18.898103,1,-1.0
2,16:58:15.162337,16:58:19.146204,1,-1.0
2,16:58:15.162337,16:58:19.379956,1,-1.0
2,16:58:15.162337,16:58:19.617405,1,-1.0
2,16:58:15.162337,16:58:19.870204,1,-1.0
2,16:58:15.162337,16:58:20.089990,1,-1.0
2,16:58:15.162337,16:58:20.317211,1,-1.0
2,16:58:15.162337,16:58:20.528896,1,-1.0
2,16:58:15.162337,16:58:20.770344,1,-1.0
2,16:58:15.162337,16:58:20.997206,1,-1.0
2,16:58:15.162337,16:58:21.258828,1,-1.0
2,16:58:15.162337,16:58:21.486450,1,-1.0
2,16:58:15.162337,16:58:21.739481,1,-1.0
2,16:58:15.162337,16:58:21.982097,1,-1.0
2,16:58:15.162337,16:58:22.278865,1,-1.0
2,16:58:15.162337,16:58:22.508564,1,-1.0
2,16:58:15.162337,16:58:22.736168,1,-1.0
2,16:58:15.162337,16:58:23.010164,1,-1.0
2,16:58:15.162337,16:58:23.238946,1,-1.0
2,16:58:15.162337,16:58:23.454403,1,-1.0
2,16:58:15.162337,16:58:23.679077,1,-1.0
2,16:58:15.162337,16:58:23.903238,1,-1.0
2,16:58:15.162337,16:58:24.150697,1,-1.0
2,16:58:15.162337,16:58:24.376823,1,-1.0
2,16:58:15.162337,16:58:24.642920,1,-1.0
2,16:58:15.162337,16:58:24.711096,-1,-1.0
2,16:58:15.162337,16:58:24.897337,-1,-1.0
2,16:58:15.162337,16:58:25.102061,-1,-1.0
2,16:58:15.162337,16:58:25.371748,-1,-1.0
2,16:58:15.162337,16:58:25.808096,1,-1.0
2,16:58:15.162337,16:58:25.968952,1,-1.0
2,16:58:15.162337,16:58:26.172428,1,-1.0
2,16:58:15.162337,16:58:26.381408,1,-1.0
2,16:58:15.162337,16:58:26.572380,1,-1.0
2,16:58:15.162337,16:58:26.824554,1,-1.0
2,16:58:15.162337,16:58:27.013233,1,-1.0
2,16:58:15.162337,16:58:27.303699,1,-1.0
2,16:58:15.162337,16:58:27.433811,1,-1.0
2,16:58:15.162337,16:58:27.654833,1,-1.0
2,16:58:15.162337,16:58:27.870998,1,-1.0
2,16:58:15.162337,16:58:28.074500,1,-1.0
2,16:58:15.162337,16:58:28.300588,1,-1.0
2,16:58:15.162337,16:58:28.524129,1,-1.0
2,16:58:15.162337,16:58:28.734751,1,-1.0
